Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
39,All cancers,795,Turkmenistan,TKM,0,1,82.5
39,All cancers,604,Peru,PER,0,1,82.37
39,All cancers,840,United States of America,USA,0,1,82.33
39,All cancers,426,Lesotho,LSO,0,1,81.98
39,All cancers,686,Senegal,SEN,0,1,81.62
39,All cancers,470,Malta,MLT,0,1,81.57
39,All cancers,170,Colombia,COL,0,1,81.36
39,All cancers,788,Tunisia,TUN,0,1,80.17
39,All cancers,140,Central African Republic,CAF,0,1,79.87
39,All cancers,246,Finland,FIN,0,1,79.81
39,All cancers,474,"France, Martinique",MTQ,0,1,79.31
39,All cancers,756,Switzerland,CHE,0,1,78.79
39,All cancers,004,Afghanistan,AFG,0,1,78.73
39,All cancers,392,Japan,JPN,0,1,78.63
39,All cancers,012,Algeria,DZA,0,1,77.66
39,All cancers,442,Luxembourg,LUX,0,1,77.25
39,All cancers,410,"Korea, Republic of",KOR,0,1,77.01
39,All cancers,558,Nicaragua,NIC,0,1,76.77
39,All cancers,624,Guinea-Bissau,GNB,0,1,76.46
39,All cancers,728,South Sudan,SSD,0,1,76.28
39,All cancers,180,"Congo, Democratic People Republic of",COD,0,1,76.18
39,All cancers,662,Saint Lucia,LCA,0,1,76.1
39,All cancers,218,Ecuador,ECU,0,1,75.96
39,All cancers,174,Comoros,COM,0,1,75.34
39,All cancers,188,Costa Rica,CRI,0,1,75.33
39,All cancers,630,Puerto Rico,PRI,0,1,74.98
39,All cancers,478,Mauritania,MRT,0,1,74.75
39,All cancers,050,Bangladesh,BGD,0,1,74.65
39,All cancers,566,Nigeria,NGA,0,1,74.64
39,All cancers,090,Solomon Islands,SLB,0,1,74.62
39,All cancers,231,Ethiopia,ETH,0,1,74.45
39,All cancers,768,Togo,TGO,0,1,73.96
39,All cancers,232,Eritrea,ERI,0,1,72.52
39,All cancers,226,Equatorial Guinea,GNQ,0,1,72.1
39,All cancers,204,Benin,BEN,0,1,71.64
39,All cancers,860,Uzbekistan,UZB,0,1,71.46
39,All cancers,320,Guatemala,GTM,0,1,71.14
39,All cancers,328,Guyana,GUY,0,1,70.19
39,All cancers,586,Pakistan,PAK,0,1,69.8
39,All cancers,266,Gabon,GAB,0,1,69.47
39,All cancers,678,Sao Tome and Principe,STP,0,1,67.95
39,All cancers,548,Vanuatu,VUT,0,1,67.8
39,All cancers,064,Bhutan,BTN,0,1,67.16
39,All cancers,262,Djibouti,DJI,0,1,66.73
39,All cancers,480,Mauritius,MUS,0,1,66.57
39,All cancers,512,Oman,OMN,0,1,66.29
39,All cancers,562,Niger,NER,0,1,66.14
39,All cancers,072,Botswana,BWA,0,1,66.13
39,All cancers,591,Panama,PAN,0,1,65.71
39,All cancers,222,El Salvador,SLV,0,1,64.73
39,All cancers,729,Sudan,SDN,0,1,64.44
39,All cancers,356,India,IND,0,1,64.35
39,All cancers,762,Tajikistan,TJK,0,1,63.9
39,All cancers,887,Yemen,YEM,0,1,63.71
39,All cancers,484,Mexico,MEX,0,1,63.51
39,All cancers,270,The Republic of the Gambia,GMB,0,1,62.69
39,All cancers,414,Kuwait,KWT,0,1,60.15
39,All cancers,084,Belize,BLZ,0,1,59.87
39,All cancers,646,Rwanda,RWA,0,1,59.44
39,All cancers,144,Sri Lanka,LKA,0,1,58.95
39,All cancers,462,Maldives,MDV,0,1,58.83
39,All cancers,048,Bahrain,BHR,0,1,58.59
39,All cancers,132,Cape Verde,CPV,0,1,58.34
39,All cancers,626,Timor-Leste,TLS,0,1,55.44
39,All cancers,524,Nepal,NPL,0,1,55.29
39,All cancers,784,United Arab Emirates,ARE,0,1,54.35
39,All cancers,178,"Congo, Republic of",COG,0,1,52.89
39,All cancers,682,Saudi Arabia,SAU,0,1,46.19
39,All cancers,634,Qatar,QAT,0,1,46.17
39,All cancers,694,Sierra Leone,SLE,0,1,25.51
